ID Khách Hàng,Tên Khách Hàng,Địa Chỉ,Số Điện Thoại,Email,Lịch Sử Mua Hàng
1,Katie Swanson,"360 John Port Apt. 378, Richardshire, MO 88852",+1-590-989-2471,nvega@example.com,"Đơn hàng 30, Đơn hàng 4, Đơn hàng 13"
2,Sheila Perry,"2150 Nelson Tunnel Apt. 013, Jamiechester, ME 43644",+1-828-400-2969x3322,robert94@example.com,"Đơn hàng 28, Đơn hàng 26"
3,Virginia Bailey DVM,"1157 Anthony Trail Suite 211, East Robert, UT 65400",(589)886-8750,rochajesus@example.com,"Đơn hàng 40, Đơn hàng 3, Đơn hàng 20"
4,Michael Walker,"4363 Christopher Fields Apt. 559, Lake Frankview, NC 37193",303.973.6453,lwilliams@example.org,"Đơn hàng 39, Đơn hàng 20, Đơn hàng 37"
5,Susan Lewis,"838 Juan Street, New David, WI 55194",(727)942-0639x439,brightkelly@example.net,"Đơn hàng 11, Đơn hàng 34"
6,John Kelly,"597 Brittany Dam Suite 926, Port Colleenton, IN 36551",309.287.2671,miranda27@example.net,Đơn hàng 42
7,Alexis Davis,"7730 Monroe Mount Apt. 503, Wrightshire, WI 25527",263-876-9192x956,matthew15@example.com,"Đơn hàng 37, Đơn hàng 43"
8,Christopher Krueger,"5751 Lara Plains, New Antonioport, MI 97542",3103602454,davidchaney@example.net,Đơn hàng 49
9,Don Curtis,"65183 Lisa Fields, Dudleyside, WY 32718",(472)437-6330x13048,christine24@example.net,"Đơn hàng 45, Đơn hàng 10, Đơn hàng 10"
10,Carlos West,"393 Katherine Causeway Suite 035, Lake Jonathan, MA 07097",822.247.4070x1157,nesparza@example.org,Đơn hàng 31
11,Erik Campbell,"8608 April Trafficway Apt. 603, East Terrychester, MS 78088",001-529-888-3460,chelsea95@example.com,"Đơn hàng 29, Đơn hàng 22, Đơn hàng 38"
12,Norman Villanueva,"893 Logan Locks Apt. 238, Harrisstad, MA 29991",469-996-7911,arogers@example.com,Đơn hàng 24
13,Kevin Meyer,"318 Li Spurs, Danielbury, OR 25146",707.701.8034,alexandriadyer@example.net,"Đơn hàng 25, Đơn hàng 41"
14,Harold Bishop,"7057 Dawn Port, Rebeccamouth, SC 19698",+1-553-418-2585x37202,donald91@example.net,Đơn hàng 3
15,Scott Pena,"62678 Gross Trafficway Apt. 516, Carlsontown, WY 99176",001-847-541-1058,webblauren@example.net,"Đơn hàng 34, Đơn hàng 38, Đơn hàng 42"
16,David Morgan,"38231 Gregory Groves, South Nathanville, OH 54779",3885202627,levinekayla@example.org,"Đơn hàng 4, Đơn hàng 46"
17,Charles Roberts,"23074 Kim Neck Apt. 909, East Matthewstad, IN 60965",001-370-201-3820x025,robert73@example.org,Đơn hàng 27
18,Brittany Becker,"237 King Place, West Jessica, MA 56943",(903)691-1283,joshua20@example.net,Đơn hàng 39
19,Christine Estrada,"USCGC Wood, FPO AP 74958",+1-254-764-2025x12137,ujones@example.org,Đơn hàng 1
20,Victoria Evans,"41528 York Extensions, South Thomas, MH 21861",+1-850-533-7919,melindaclayton@example.org,Đơn hàng 15
21,Robert Moss,"2629 Ramirez Ridges Apt. 374, Brockborough, NY 92180",835.318.8510x35141,brownshawn@example.net,"Đơn hàng 35, Đơn hàng 8, Đơn hàng 16"
22,Lindsey Burgess,"Unit 1259 Box 3760, DPO AA 25500",(639)262-8246,millschristian@example.com,Đơn hàng 18
23,Brandy Sherman,"967 Douglas Ford Suite 055, Campbellmouth, AR 30031",506-685-5918,ericblack@example.net,"Đơn hàng 20, Đơn hàng 31"
24,Michelle Gonzalez,"753 Kyle Drives Suite 555, North Paulton, NH 55633",562.843.0477x1827,sylviamclean@example.com,Đơn hàng 11
25,Joanna Palmer,"5763 Kevin Mount, West Nicholasfurt, AK 72023",(498)405-7663,asmith@example.com,Đơn hàng 37
